,Panel,Static
0,3M,3M COMPANY
1,A O SMITH CORP,A O SMITH CORP
2,ABBOTT LABORATORIES,ABBOTT LABORATORIES
3,ABBVIE,ABBVIE INC
4,ACCENTURE PLC,ACCENTURE PLC
5,ADOBE INC,ADOBE INC
6,ADVANCED MICRO DEVICES,"ADVANCED MICRO DEVICES, INC."
7,AES,AES CORP
8,AFLAC,AFLAC INC
9,AGILENT TECHNOLOGIES,"AGILENT TECHNOLOGIES, INC."
10,AIR PRODUCTS,AIR PRODUCTS AND CHEMICALS INC
11,AIRBNB,AIRBNB INC
12,AKAMAI TECHNOLOGIES,"AKAMAI TECHNOLOGIES, INC."
13,ALBEMARLE,ALBEMARLE CORPORATION
14,ALEXANDRIA REAL ESTATE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
15,ALIGN TECHNOLOGY,"ALIGN TECHNOLOGY, INC."
16,ALLEGION,ALLEGION PLC
17,ALLIANT ENERGY CORP,ALLIANT ENERGY CORPORATION
18,ALLSTATE CORP,ALLSTATE CORP
19,ALPHABET,ALPHABET INC
20,ALTRIA GROUP,"ALTRIA GROUP, INC."
21,AMAZON.COM,AMAZON.COM INC
22,AMCOR,AMCOR LIMITED
23,AMEREN,AMEREN CORPORATION
24,AMERICAN ELECTRIC,"AMERICAN ELECTRIC POWER COMPANY, INC."
25,AMERICAN EXPRESS,AMERICAN EXPRESS COMPANY
26,AMERICAN INT'L GROUP,"AMERICAN INTERNATIONAL GROUP, INC."
27,AMERICAN TOWER,AMERICAN TOWER CORPORATION
28,AMERICAN WATER WORKS,AMERICAN WATER WORKS CO INC
29,AMERIPRISE FIN,"AMERIPRISE FINANCIAL, INC."
30,AMETEK,AMETEK INC
31,AMGEN,AMGEN INC
32,AMPHENOL CORP,AMPHENOL CORPORATION
33,ANALOG DEVICES,ANALOG DEVICES INCORPORATED
34,ANSYS,ANSYS INC
35,AON PLC,AON PLC
36,APA,APA CORP (US)
37,APOLLO GLOBAL MANAGEMENT,APOLLO GLOBAL MANAGEMENT INC
38,APPLE,APPLE INC.
39,APPLIED MATERIALS,"APPLIED MATERIALS, INC."
40,APTIV,APTIV PLC
41,ARCH CAPITAL GROUP,ARCH CAPITAL GROUP LTD.
42,ARCHER DANIELS MIDLAND,ARCHER-DANIELS-MIDLAND CO
43,ARISTA NETWORKS,ARISTA NETWORKS INC
44,ARTHUR J GALLAGHER,ARTHUR J. GALLAGHER & CO.
45,ASSURANT,"ASSURANT, INC."
46,AT&T,AT&T INC
47,ATMOS ENERGY,ATMOS ENERGY CORPORATION
48,AUTODESK,"AUTODESK, INC."
49,AUTOMATIC DATA PROC,"AUTOMATIC DATA PROCESSING, INC."
50,AUTOZONE,"AUTOZONE, INC."
51,AVALONBAY COMMNS,AVALONBAY COMMUNITIES INC
52,AVERY DENNISON,AVERY DENNISON CORPORATION
53,AXON ENTERPRISE,AXON ENTERPRISE INC
54,BAKER HUGHES,BAKER HUGHES CO
55,BALL CORPORATION,BALL CORPORATION
56,BANK OF AMERICA,BANK OF AMERICA CORPORATION
57,BANK OF NEW YORK,BANK OF NEW YORK MELLON CORP.
58,BAXTER INTL.,BAXTER INTERNATIONAL INC.
59,BECTON DICKINSON,BECTON DICKINSON AND CO
60,BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY INC.
61,BEST BUY,"BEST BUY CO., INC."
62,BIO-TECHNE,BIO-TECHNE CORP
63,BIOGEN,BIOGEN INC
64,BLACKROCK,BLACKROCK INC
65,BLACKSTONE,BLACKSTONE INC
66,BOEING,BOEING CO
67,BOOKING HOLDINGS,BOOKING HOLDINGS INC
68,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC CORPORATION
69,BRISTOL MYERS SQUIBB,BRISTOL-MYERS SQUIBB COMPANY
70,BROADCOM,BROADCOM INC
71,BROADRIDGE FINANCIAL,BROADRIDGE FINANCIAL SOLUTIONS INC
72,BROWN & BROWN,"BROWN & BROWN, INC."
73,BROWN-FORMAN CORP,BROWN-FORMAN CORPORATION
74,BUILDERS FIRSTSOURCE,"BUILDERS FIRSTSOURCE, INC."
75,BUNGE GLOBAL,BUNGE GLOBAL SA
76,BXP,BXP INC
77,CADENCE DESIGN SYST,"CADENCE DESIGN SYSTEMS, INC."
78,CAESAR,CAESARS ENTERTAINMENT INC
79,CAMDEN PROPERTY,CAMDEN PROPERTY TRUST
80,CAMPBELL'S CO,CAMPBELL'S CO
81,CAPITAL ONE FIN'L,CAPITAL ONE FINANCIAL CORPORATION
82,CARDINAL HEALTH,"CARDINAL HEALTH, INC."
83,CARMAX,CARMAX INC
84,CARNIVAL,CARNIVAL CORP
85,CARRIER GLOBAL,CARRIER GLOBAL CORP
86,CATERPILLAR,CATERPILLAR INC.
87,CBOE GLOBAL,CBOE GLOBAL MARKETS INC
88,CBRE GROUP,CBRE GROUP INCORPORATED
89,CDW,CDW CORP
90,CENCORA,CENCORA INC
91,CENTENE,CENTENE CORPORATION
