DATE,sprtrn,spindx
2010-12-01,0.021617,1206.07
2010-12-02,0.012818,1221.53
2010-12-03,0.002603,1224.71
2010-12-06,-0.001298,1223.12
2010-12-07,0.000515,1223.75
2010-12-08,0.003702,1228.28
2010-12-09,0.003843,1233.00
2010-12-10,0.006002,1240.40
2010-12-13,0.000048,1240.46
2010-12-14,0.000911,1241.59
2010-12-15,-0.005122,1235.23
2010-12-16,0.006185,1242.87
2010-12-17,0.000837,1243.91
2010-12-20,0.002548,1247.08
2010-12-21,0.006030,1254.60
2010-12-22,0.003380,1258.84
2010-12-23,-0.001644,1256.77
2010-12-27,0.000613,1257.54
2010-12-28,0.000771,1258.51
2010-12-29,0.001009,1259.78
2010-12-30,-0.001508,1257.88
2010-12-31,-0.000191,1257.64
2011-01-03,0.011315,1271.87
2011-01-04,-0.001313,1270.20
2011-01-05,0.005007,1276.56
2011-01-06,-0.002123,1273.85
2011-01-07,-0.001845,1271.50
2011-01-10,-0.001376,1269.75
2011-01-11,0.003725,1274.48
2011-01-12,0.009008,1285.96
2011-01-13,-0.001711,1283.76
2011-01-14,0.007385,1293.24
2011-01-18,0.001376,1295.02
2011-01-19,-0.010116,1281.92
2011-01-20,-0.001295,1280.26
2011-01-21,0.002414,1283.35
2011-01-24,0.005836,1290.84
2011-01-25,0.000263,1291.18
2011-01-26,0.004221,1296.63
2011-01-27,0.002244,1299.54
2011-01-28,-0.017852,1276.34
2011-01-31,0.007663,1286.12
2011-02-01,0.016694,1307.59
2011-02-02,-0.002723,1304.03
2011-02-03,0.002354,1307.10
2011-02-04,0.002884,1310.87
2011-02-07,0.006240,1319.05
2011-02-08,0.004185,1324.57
2011-02-09,-0.002786,1320.88
2011-02-10,0.000750,1321.87
2011-02-11,0.005507,1329.15
2011-02-14,0.002385,1332.32
2011-02-15,-0.003235,1328.01
2011-02-16,0.006257,1336.32
2011-02-17,0.003076,1340.43
2011-02-18,0.001925,1343.01
2011-02-22,-0.020529,1315.44
2011-02-23,-0.006112,1307.40
2011-02-24,-0.000994,1306.10
2011-02-25,0.010550,1319.88
2011-02-28,0.005561,1327.22
2011-03-01,-0.015740,1306.33
2011-03-02,0.001615,1308.44
2011-03-03,0.017219,1330.97
2011-03-04,-0.007378,1321.15
2011-03-07,-0.008341,1310.13
2011-03-08,0.008923,1321.82
2011-03-09,-0.001362,1320.02
2011-03-10,-0.018871,1295.11
2011-03-11,0.007080,1304.28
2011-03-14,-0.006049,1296.39
2011-03-15,-0.011200,1281.87
2011-03-16,-0.019495,1256.88
2011-03-17,0.013398,1273.72
2011-03-18,0.004302,1279.20
2011-03-21,0.014994,1298.38
2011-03-22,-0.003551,1293.77
2011-03-23,0.002914,1297.54
2011-03-24,0.009341,1309.66
2011-03-25,0.003161,1313.80
2011-03-28,-0.002748,1310.19
2011-03-29,0.007060,1319.44
2011-03-30,0.006685,1328.26
2011-03-31,-0.001829,1325.83
2011-04-01,0.004963,1332.41
2011-04-04,0.000345,1332.87
2011-04-05,-0.000180,1332.63
2011-04-06,0.002184,1335.54
2011-04-07,-0.001520,1333.51
2011-04-08,-0.004004,1328.17
2011-04-11,-0.002793,1324.46
2011-04-12,-0.007777,1314.16
2011-04-13,0.000190,1314.41
2011-04-14,0.000084,1314.52
2011-04-15,0.003925,1319.68
2011-04-18,-0.011018,1305.14
2011-04-19,0.005731,1312.62
2011-04-20,0.013515,1330.36
2011-04-21,0.005277,1337.38
2011-04-25,-0.001593,1335.25
2011-04-26,0.008980,1347.24
2011-04-27,0.006250,1355.66
2011-04-28,0.003555,1360.48
2011-04-29,0.002301,1363.61
2011-05-02,-0.001753,1361.22
2011-05-03,-0.003379,1356.62
2011-05-04,-0.006855,1347.32
2011-05-05,-0.009070,1335.10
2011-05-06,0.003820,1340.20
2011-05-09,0.004544,1346.29
2011-05-10,0.008074,1357.16
2011-05-11,-0.011111,1342.08
2011-05-12,0.004895,1348.65
2011-05-13,-0.008067,1337.77
2011-05-16,-0.006204,1329.47
2011-05-17,-0.000369,1328.98
2011-05-18,0.008804,1340.68
2011-05-19,0.002178,1343.60
2011-05-20,-0.007688,1333.27
2011-05-23,-0.011926,1317.37
2011-05-24,-0.000827,1316.28
2011-05-25,0.003183,1320.47
2011-05-26,0.003953,1325.69
2011-05-27,0.004081,1331.10
2011-05-31,0.010593,1345.20
2011-06-01,-0.022785,1314.55
2011-06-02,-0.001225,1312.94
2011-06-03,-0.009734,1300.16
2011-06-06,-0.010760,1286.17
2011-06-07,-0.000956,1284.94
2011-06-08,-0.004187,1279.56
2011-06-09,0.007378,1289.00
2011-06-10,-0.013980,1270.98
2011-06-13,0.000669,1271.83
2011-06-14,0.012612,1287.87
2011-06-15,-0.017432,1265.42
2011-06-16,0.001754,1267.64
2011-06-17,0.003045,1271.50
2011-06-20,0.005395,1278.36
2011-06-21,0.013423,1295.52
2011-06-22,-0.006468,1287.14
2011-06-23,-0.002828,1283.50
2011-06-24,-0.011726,1268.45
2011-06-27,0.009184,1280.10
2011-06-28,0.012944,1296.67
2011-06-29,0.008283,1307.41
2011-06-30,0.010119,1320.64
2011-07-01,0.014410,1339.67
2011-07-05,-0.001336,1337.88
2011-07-06,0.001002,1339.22
2011-07-07,0.010454,1353.22
2011-07-08,-0.006961,1343.80
2011-07-11,-0.018090,1319.49
2011-07-12,-0.004434,1313.64
2011-07-13,0.003106,1317.72
2011-07-14,-0.006716,1308.87
2011-07-15,0.005554,1316.14
2011-07-18,-0.008130,1305.44
2011-07-19,0.016309,1326.73
2011-07-20,-0.000671,1325.84
2011-07-21,0.013546,1343.80
2011-07-22,0.000908,1345.02
2011-07-25,-0.005643,1337.43
2011-07-26,-0.004105,1331.94
2011-07-27,-0.020309,1304.89
2011-07-28,-0.003234,1300.67
2011-07-29,-0.006451,1292.28
2011-08-01,-0.004132,1286.94
2011-08-02,-0.025557,1254.05
2011-08-03,0.005016,1260.34
2011-08-04,-0.047820,1200.07
2011-08-05,-0.000575,1199.38
2011-08-08,-0.066634,1119.46
2011-08-09,0.047407,1172.53
2011-08-10,-0.044152,1120.76
2011-08-11,0.046290,1172.64
2011-08-12,0.005262,1178.81
2011-08-15,0.021785,1204.49
2011-08-16,-0.009739,1192.76
2011-08-17,0.000947,1193.89
2011-08-18,-0.044594,1140.65
2011-08-19,-0.015009,1123.53
2011-08-22,0.000258,1123.82
2011-08-23,0.034285,1162.35
2011-08-24,0.013120,1177.60
2011-08-25,-0.015566,1159.27
2011-08-26,0.015122,1176.80
2011-08-29,0.028280,1210.08
2011-08-30,0.002347,1212.92
2011-08-31,0.004922,1218.89
2011-09-01,-0.011871,1204.42
2011-09-02,-0.025282,1173.97
2011-09-06,-0.007436,1165.24
2011-09-07,0.028646,1198.62
2011-09-08,-0.010612,1185.90
2011-09-09,-0.026705,1154.23
2011-09-12,0.006966,1162.27
2011-09-13,0.009120,1172.87
2011-09-14,0.013480,1188.68
2011-09-15,0.017187,1209.11
2011-09-16,0.005707,1216.01
2011-09-19,-0.009803,1204.09
2011-09-20,-0.001661,1202.09
2011-09-21,-0.029390,1166.76
2011-09-22,-0.031883,1129.56
2011-09-23,0.006082,1136.43
2011-09-26,0.023336,1162.95
2011-09-27,0.010688,1175.38
2011-09-28,-0.020691,1151.06
2011-09-29,0.008114,1160.40
2011-09-30,-0.024974,1131.42
2011-10-03,-0.028451,1099.23
2011-10-04,0.022488,1123.95
2011-10-05,0.017866,1144.03
2011-10-06,0.018304,1164.97
2011-10-07,-0.008163,1155.46
2011-10-10,0.034125,1194.89
2011-10-11,0.000544,1195.54
2011-10-12,0.009795,1207.25
2011-10-13,-0.002974,1203.66
2011-10-14,0.017380,1224.58
2011-10-17,-0.019370,1200.86
2011-10-18,0.020419,1225.38
2011-10-19,-0.012649,1209.88
2011-10-20,0.004554,1215.39
2011-10-21,0.018809,1238.25
2011-10-24,0.012873,1254.19
2011-10-25,-0.020045,1229.05
2011-10-26,0.010537,1242.00
2011-10-27,0.034291,1284.59
2011-10-28,0.000389,1285.09
2011-10-31,-0.024738,1253.30
2011-11-01,-0.027942,1218.28
2011-11-02,0.016105,1237.90
2011-11-03,0.018782,1261.15
2011-11-04,-0.006280,1253.23
2011-11-07,0.006296,1261.12
2011-11-08,0.011736,1275.92
2011-11-09,-0.036695,1229.10
2011-11-10,0.008616,1239.69
2011-11-11,0.019489,1263.85
2011-11-14,-0.009550,1251.78
2011-11-15,0.004817,1257.81
2011-11-16,-0.016616,1236.91
2011-11-17,-0.016800,1216.13
2011-11-18,-0.000395,1215.65
2011-11-21,-0.018648,1192.98
2011-11-22,-0.004141,1188.04
2011-11-23,-0.022095,1161.79
2011-11-25,-0.002686,1158.67
2011-11-28,0.029240,1192.55
2011-11-29,0.002214,1195.19
2011-11-30,0.043315,1246.96
2011-12-01,-0.001909,1244.58
2011-12-02,-0.000241,1244.28
2011-12-05,0.010287,1257.08
2011-12-06,0.001106,1258.47
2011-12-07,0.002018,1261.01
2011-12-08,-0.021142,1234.35
2011-12-09,0.016883,1255.19
2011-12-12,-0.014914,1236.47
2011-12-13,-0.008686,1225.73
2011-12-14,-0.011348,1211.82
2011-12-15,0.003243,1215.75
2011-12-16,0.003216,1219.66
2011-12-19,-0.011733,1205.35
2011-12-20,0.029825,1241.30
2011-12-21,0.001950,1243.72
2011-12-22,0.008266,1254.00
2011-12-23,0.009035,1265.33
2011-12-27,0.000079,1265.43
2011-12-28,-0.012478,1249.64
2011-12-29,0.010707,1263.02
2011-12-30,-0.004291,1257.60
2012-01-03,0.015474,1277.06
2012-01-04,0.000188,1277.30
2012-01-05,0.002944,1281.06
2012-01-06,-0.002537,1277.81
2012-01-09,0.002262,1280.70
2012-01-10,0.008886,1292.08
2012-01-11,0.000310,1292.48
2012-01-12,0.002337,1295.50
2012-01-13,-0.004948,1289.09
2012-01-17,0.003553,1293.67
2012-01-18,0.011108,1308.04
2012-01-19,0.004939,1314.50
2012-01-20,0.000669,1315.38
2012-01-23,0.000471,1316.00
2012-01-24,-0.001026,1314.65
2012-01-25,0.008672,1326.05
2012-01-26,-0.005746,1318.43
2012-01-27,-0.001593,1316.33
2012-01-30,-0.002522,1313.01
2012-01-31,-0.000457,1312.41
2012-02-01,0.008900,1324.09
2012-02-02,0.001095,1325.54
2012-02-03,0.014605,1344.90
2012-02-06,-0.000424,1344.33
2012-02-07,0.002023,1347.05
2012-02-08,0.002160,1349.96
2012-02-09,0.001474,1351.95
2012-02-10,-0.006886,1342.64
2012-02-13,0.006800,1351.77
2012-02-14,-0.000940,1350.50
2012-02-15,-0.005383,1343.23
2012-02-16,0.011026,1358.04
2012-02-17,0.002349,1361.23
2012-02-21,0.000720,1362.21
2012-02-22,-0.003340,1357.66
2012-02-23,0.004272,1363.46
2012-02-24,0.001672,1365.74
2012-02-27,0.001355,1367.59
2012-02-28,0.003356,1372.18
2012-02-29,-0.004737,1365.68
2012-03-01,0.006158,1374.09
2012-03-02,-0.003246,1369.63
2012-03-05,-0.003870,1364.33
2012-03-06,-0.015370,1343.36
2012-03-07,0.006901,1352.63
2012-03-08,0.009818,1365.91
2012-03-09,0.003631,1370.87
2012-03-12,0.000160,1371.09
2012-03-13,0.018132,1395.95
2012-03-14,-0.001196,1394.28
2012-03-15,0.005967,1402.60
2012-03-16,0.001119,1404.17
2012-03-19,0.003974,1409.75
2012-03-20,-0.003001,1405.52
2012-03-21,-0.001871,1402.89
2012-03-22,-0.007207,1392.78
2012-03-23,0.003109,1397.11
2012-03-26,0.013886,1416.51
2012-03-27,-0.002817,1412.52
2012-03-28,-0.004942,1405.54
2012-03-29,-0.001608,1403.28
