iter	Passed	Remaining
0	28	8429
1	52	7767
2	75	7522
3	99	7366
4	119	7029
5	140	6872
6	162	6820
7	184	6718
8	205	6651
9	230	6680
10	250	6577
11	271	6515
12	293	6477
13	313	6401
14	333	6329
15	352	6257
16	375	6244
17	393	6165
18	417	6174
19	437	6125
20	454	6043
21	477	6032
22	501	6041
23	524	6034
24	549	6040
25	571	6026
26	593	6004
27	615	5980
28	636	5949
29	656	5904
30	677	5875
31	701	5875
32	723	5851
33	748	5854
34	770	5830
35	792	5814
36	814	5786
37	838	5782
38	864	5784
39	889	5782
40	913	5772
41	936	5752
42	958	5728
43	979	5701
44	1003	5688
45	1027	5675
46	1052	5664
47	1075	5645
48	1098	5625
49	1120	5600
50	1143	5581
51	1166	5561
52	1188	5537
53	1213	5526
54	1237	5510
55	1263	5506
56	1292	5509
57	1318	5501
58	1347	5503
59	1373	5494
60	1402	5495
61	1424	5469
62	1446	5440
63	1467	5412
64	1488	5382
65	1513	5367
66	1540	5357
67	1565	5339
68	1591	5326
69	1615	5309
70	1637	5282
71	1661	5262
72	1687	5248
73	1715	5239
74	1742	5227
75	1766	5205
76	1791	5186
77	1813	5161
78	1839	5145
79	1862	5121
80	1888	5105
81	1917	5098
82	1941	5075
83	1964	5051
84	1986	5025
85	2007	4994
86	2028	4966
87	2050	4938
88	2073	4914
89	2094	4886
90	2114	4857
91	2134	4825
92	2155	4797
93	2177	4770
94	2200	4748
95	2224	4726
96	2247	4703
97	2268	4675
98	2290	4649
99	2311	4622
100	2333	4597
101	2355	4571
102	2375	4543
103	2395	4513
104	2415	4486
105	2438	4462
106	2464	4445
107	2491	4429
108	2518	4413
109	2547	4399
110	2573	4382
111	2599	4363
112	2623	4340
113	2647	4319
114	2671	4297
115	2695	4275
116	2720	4254
117	2745	4233
118	2767	4209
119	2790	4185
120	2813	4161
121	2838	4141
122	2865	4123
123	2893	4107
124	2920	4088
125	2944	4066
126	2973	4050
127	3001	4033
128	3029	4015
129	3053	3993
130	3076	3969
131	3097	3942
132	3121	3919
133	3144	3895
134	3166	3869
135	3186	3842
136	3210	3819
137	3238	3801
138	3264	3781
139	3293	3763
140	3317	3740
141	3341	3717
142	3362	3691
143	3385	3667
144	3409	3644
145	3433	3621
146	3456	3597
147	3478	3572
148	3500	3547
149	3523	3523
150	3548	3501
151	3571	3477
152	3597	3455
153	3622	3434
154	3645	3410
155	3668	3385
156	3691	3362
157	3713	3337
158	3736	3313
159	3761	3291
160	3784	3267
161	3808	3244
162	3830	3219
163	3857	3198
164	3882	3176
165	3908	3155
166	3936	3134
167	3960	3111
168	3986	3090
169	4012	3068
170	4033	3043
171	4057	3019
172	4078	2994
173	4101	2969
174	4122	2944
175	4145	2920
176	4169	2897
177	4193	2874
178	4216	2850
179	4237	2824
180	4259	2800
181	4281	2776
182	4304	2751
183	4330	2729
184	4352	2705
185	4373	2680
186	4395	2656
187	4418	2632
188	4442	2608
189	4465	2585
190	4489	2561
191	4509	2536
192	4534	2514
193	4557	2490
194	4580	2466
195	4604	2443
196	4624	2417
197	4647	2393
198	4669	2369
199	4690	2345
200	4713	2321
201	4736	2297
202	4757	2273
203	4779	2249
204	4802	2225
205	4824	2201
206	4849	2178
207	4877	2157
208	4904	2135
209	4931	2113
210	4956	2090
211	4978	2066
212	5001	2042
213	5023	2018
214	5045	1994
215	5068	1971
216	5091	1947
217	5113	1923
218	5133	1898
219	5156	1875
220	5179	1851
221	5203	1828
222	5225	1804
223	5247	1780
224	5269	1756
225	5294	1733
226	5316	1709
227	5339	1686
228	5361	1662
229	5385	1639
230	5406	1614
231	5429	1591
232	5451	1567
233	5474	1544
234	5496	1520
235	5519	1496
236	5541	1472
237	5562	1449
238	5584	1425
239	5608	1402
240	5633	1379
241	5656	1355
242	5676	1331
243	5698	1307
244	5719	1283
245	5741	1260
246	5763	1236
247	5784	1212
248	5806	1189
249	5828	1165
250	5856	1143
251	5883	1120
252	5911	1098
253	5934	1074
254	5959	1051
255	5983	1028
256	6007	1005
257	6032	982
258	6059	959
259	6085	936
260	6108	912
261	6132	889
262	6154	865
263	6179	842
264	6208	819
265	6235	797
266	6263	774
267	6293	751
268	6323	728
269	6351	705
270	6383	683
271	6408	659
272	6436	636
273	6463	613
274	6490	590
275	6520	566
276	6547	543
277	6574	520
278	6598	496
279	6626	473
280	6656	450
281	6690	427
282	6722	403
283	6748	380
284	6771	356
285	6797	332
286	6819	308
287	6849	285
288	6879	261
289	6904	238
290	6930	214
291	6955	190
292	6979	166
293	7003	142
294	7024	119
295	7045	95
296	7067	71
297	7092	47
298	7116	23
299	7145	0
